rank,title,url,score,votes,scraped_at
1,The Boys,https://www.imdb.com/title/tt1190634/,8.5,947265,2026-05-27T00:03:03-07:00
2,Off Campus,https://www.imdb.com/title/tt33546863/,8.1,17604,2026-05-27T00:03:03-07:00
3,The Boroughs,https://www.imdb.com/title/tt27557289/,7.5,8143,2026-05-27T00:03:03-07:00
4,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.4,5005,2026-05-27T00:03:03-07:00
5,Vought Rising,https://www.imdb.com/title/tt33041431/,,0,2026-05-27T00:03:03-07:00
6,From,https://www.imdb.com/title/tt9813792/,7.8,184544,2026-05-27T00:03:03-07:00
7,Legends,https://www.imdb.com/title/tt33265765/,7.9,12735,2026-05-27T00:03:03-07:00
8,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.3,8005,2026-05-27T00:03:03-07:00
9,Euphoria,https://www.imdb.com/title/tt8772296/,8.2,306027,2026-05-27T00:03:03-07:00
10,Nemesis,https://www.imdb.com/title/tt36022742/,5.9,2681,2026-05-27T00:03:03-07:00
11,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,56378,2026-05-27T00:03:03-07:00
12,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2618718,2026-05-27T00:03:03-07:00
13,Rivals,https://www.imdb.com/title/tt21906238/,7.9,17913,2026-05-27T00:03:03-07:00
14,The Mandalorian,https://www.imdb.com/title/tt8111088/,8.6,656360,2026-05-27T00:03:03-07:00
15,Virgin River,https://www.imdb.com/title/tt9077530/,7.4,59698,2026-05-27T00:03:03-07:00
16,Berlin and the Lady with an Ermine,https://www.imdb.com/title/tt42178219/,7.1,4222,2026-05-27T00:03:03-07:00
17,Margo's Got Money Troubles,https://www.imdb.com/title/tt31137273/,7.3,8090,2026-05-27T00:03:03-07:00
18,Maximum Pleasure Guaranteed,https://www.imdb.com/title/tt35946742/,6.8,769,2026-05-27T00:03:03-07:00
19,Hacks,https://www.imdb.com/title/tt11815682/,8.2,63677,2026-05-27T00:03:03-07:00
20,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2620956,2026-05-27T00:03:03-07:00
21,Marshals,https://www.imdb.com/title/tt36849871/,6.0,12087,2026-05-27T00:03:03-07:00
22,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,151003,2026-05-27T00:03:03-07:00
23,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,311779,2026-05-27T00:03:03-07:00
24,Half Man,https://www.imdb.com/title/tt32767294/,7.8,3991,2026-05-27T00:03:03-07:00
25,Invincible,https://www.imdb.com/title/tt6741278/,8.7,339536,2026-05-27T00:03:03-07:00
26,The Testaments,https://www.imdb.com/title/tt10970762/,8.2,5732,2026-05-27T00:03:03-07:00
27,Jack Ryan,https://www.imdb.com/title/tt5057054/,8.0,193325,2026-05-27T00:03:03-07:00
28,Spider-Noir,https://www.imdb.com/title/tt30460310/,8.1,294,2026-05-27T00:03:03-07:00
29,The Wonderfools,https://www.imdb.com/title/tt34440854/,7.7,3152,2026-05-27T00:03:03-07:00
30,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1703219,2026-05-27T00:03:03-07:00
31,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,128177,2026-05-27T00:03:03-07:00
32,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,539614,2026-05-27T00:03:03-07:00
33,Two Weeks in August,https://www.imdb.com/title/tt36118374/,5.1,232,2026-05-27T00:03:03-07:00
34,Mating Season,https://www.imdb.com/title/tt14690136/,6.5,590,2026-05-27T00:03:03-07:00
35,For All Mankind,https://www.imdb.com/title/tt7772588/,8.1,88772,2026-05-27T00:03:03-07:00
36,Man on Fire,https://www.imdb.com/title/tt27331527/,6.7,9778,2026-05-27T00:03:03-07:00
37,Beef,https://www.imdb.com/title/tt14403178/,8.0,173052,2026-05-27T00:03:03-07:00
38,Daredevil: Born Again,https://www.imdb.com/title/tt18923754/,8.1,106640,2026-05-27T00:03:03-07:00
39,M.I.A.,https://www.imdb.com/title/tt33253070/,6.4,1987,2026-05-27T00:03:03-07:00
40,Outlander,https://www.imdb.com/title/tt3006802/,8.3,201533,2026-05-27T00:03:03-07:00
41,Rooster,https://www.imdb.com/title/tt32420734/,7.6,14990,2026-05-27T00:03:03-07:00
42,MobLand,https://www.imdb.com/title/tt31510819/,8.3,114648,2026-05-27T00:03:03-07:00
43,Tracker,https://www.imdb.com/title/tt13875494/,7.1,29620,2026-05-27T00:03:03-07:00
44,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,718113,2026-05-27T00:03:03-07:00
45,Person of Interest,https://www.imdb.com/title/tt1839578/,8.5,208908,2026-05-27T00:03:03-07:00
46,Sheriff Country,https://www.imdb.com/title/tt32268630/,6.8,4288,2026-05-27T00:03:03-07:00
47,The Chestnut Man,https://www.imdb.com/title/tt10834220/,7.6,66220,2026-05-27T00:03:03-07:00
48,The Madison,https://www.imdb.com/title/tt33204276/,7.8,18487,2026-05-27T00:03:03-07:00
49,Elsbeth,https://www.imdb.com/title/tt26591110/,7.5,18792,2026-05-27T00:03:03-07:00
50,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,580809,2026-05-27T00:03:03-07:00
51,Citadel,https://www.imdb.com/title/tt9794044/,6.2,40499,2026-05-27T00:03:03-07:00
52,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,837446,2026-05-27T00:03:03-07:00
53,Berlin and the Jewels of Paris,https://www.imdb.com/title/tt16288804/,7.1,40642,2026-05-27T00:03:03-07:00
54,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,229789,2026-05-27T00:03:03-07:00
55,Sapne Vs Everyone,https://www.imdb.com/title/tt30263074/,9.2,82916,2026-05-27T00:03:03-07:00
56,The Punisher,https://www.imdb.com/title/tt5675620/,8.4,304558,2026-05-27T00:03:03-07:00
57,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1197669,2026-05-27T00:03:03-07:00
58,The White Lotus,https://www.imdb.com/title/tt13406094/,8.0,325780,2026-05-27T00:03:03-07:00
59,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,527505,2026-05-27T00:03:03-07:00
60,Good Omens,https://www.imdb.com/title/tt1869454/,8.0,125109,2026-05-27T00:03:03-07:00
61,Paradise,https://www.imdb.com/title/tt27444205/,7.9,80957,2026-05-27T00:03:03-07:00
62,Star Wars: Maul - Shadow Lord,https://www.imdb.com/title/tt36594331/,8.6,23124,2026-05-27T00:03:03-07:00
63,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.7,247236,2026-05-27T00:03:03-07:00
64,The Handmaid's Tale,https://www.imdb.com/title/tt5834204/,8.3,298662,2026-05-27T00:03:03-07:00
65,Landman,https://www.imdb.com/title/tt14186672/,8.2,108098,2026-05-27T00:03:03-07:00
66,The Office,https://www.imdb.com/title/tt0386676/,9.0,833772,2026-05-27T00:03:03-07:00
67,Devil May Cry,https://www.imdb.com/title/tt15716776/,7.5,31576,2026-05-27T00:03:03-07:00
68,Law & Order: Special Victims Unit,https://www.imdb.com/title/tt0203259/,8.1,144804,2026-05-27T00:03:03-07:00
69,Grey's Anatomy,https://www.imdb.com/title/tt0413573/,7.6,374465,2026-05-27T00:03:03-07:00
70,Ghosts,https://www.imdb.com/title/tt11379026/,7.9,49639,2026-05-27T00:03:03-07:00
71,ER,https://www.imdb.com/title/tt0108757/,7.9,78431,2026-05-27T00:03:03-07:00
72,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,444261,2026-05-27T00:03:03-07:00
73,The Wire,https://www.imdb.com/title/tt0306414/,9.3,431908,2026-05-27T00:03:03-07:00
74,Boston Blue,https://www.imdb.com/title/tt35826715/,6.3,3894,2026-05-27T00:03:03-07:00
75,Running Point,https://www.imdb.com/title/tt14879018/,7.3,26857,2026-05-27T00:03:03-07:00
76,One Piece,https://www.imdb.com/title/tt0388629/,9.0,354424,2026-05-27T00:03:03-07:00
77,The Bear,https://www.imdb.com/title/tt14452776/,8.5,309669,2026-05-27T00:03:03-07:00
78,True Detective,https://www.imdb.com/title/tt2356777/,8.8,756580,2026-05-27T00:03:03-07:00
79,Shrinking,https://www.imdb.com/title/tt15677150/,8.2,124223,2026-05-27T00:03:03-07:00
80,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,239503,2026-05-27T00:03:03-07:00
81,Gen V,https://www.imdb.com/title/tt13159924/,7.6,151913,2026-05-27T00:03:03-07:00
