rank,title,url,score,votes,release_year,scraped_at
1,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,560263,2022,2026-08-14T00:03:03-07:00
2,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,456410,2020,2026-08-14T00:03:03-07:00
3,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,5090,2026,2026-08-14T00:03:03-07:00
4,Silo,https://www.imdb.com/title/tt14688458/,8.1,226973,2023,2026-08-14T00:03:03-07:00
5,Furious,https://www.imdb.com/title/tt36303968/,7.6,4772,2026,2026-08-14T00:03:03-07:00
6,The Shards,https://www.imdb.com/title/tt27543562/,5.8,1656,2026,2026-08-14T00:03:03-07:00
7,Lioness,https://www.imdb.com/title/tt13111078/,7.8,91583,2023,2026-08-14T00:03:03-07:00
8,Alley Cats,https://www.imdb.com/title/tt38264832/,6.8,4523,2026,2026-08-14T00:03:03-07:00
9,The Bombing of Pan Am 103,https://www.imdb.com/title/tt13592494/,7.5,6340,2025,2026-08-14T00:03:03-07:00
10,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2648139,2011,2026-08-14T00:03:03-07:00
11,Lucky,https://www.imdb.com/title/tt34866681/,6.6,6028,2026,2026-08-14T00:03:03-07:00
12,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,241192,2008,2026-08-14T00:03:03-07:00
13,Ride or Die,https://www.imdb.com/title/tt30494226/,7.6,12127,2026,2026-08-14T00:03:03-07:00
14,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,64858,2026,2026-08-14T00:03:03-07:00
15,Sugar,https://www.imdb.com/title/tt16418808/,7.4,48346,2024,2026-08-14T00:03:03-07:00
16,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,56346,2026,2026-08-14T00:03:03-07:00
17,Anna Pigeon,https://www.imdb.com/title/tt36937503/,5.8,420,2026,2026-08-14T00:03:03-07:00
18,My Life with the Walter Boys,https://www.imdb.com/title/tt8323628/,6.8,27450,2023,2026-08-14T00:03:03-07:00
19,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,133143,2018,2026-08-14T00:03:03-07:00
20,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,4651,2026,2026-08-14T00:03:03-07:00
21,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2658541,2008,2026-08-14T00:03:03-07:00
22,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,707397,2013,2026-08-14T00:03:03-07:00
23,Cape Fear,https://www.imdb.com/title/tt34675596/,6.7,18706,2026,2026-08-14T00:03:03-07:00
24,Reacher,https://www.imdb.com/title/tt9288030/,8.0,301880,2022,2026-08-14T00:03:03-07:00
25,Best Medicine,https://www.imdb.com/title/tt36885662/,6.7,5458,2026,2026-08-14T00:03:03-07:00
26,The Bear,https://www.imdb.com/title/tt14452776/,8.5,321477,2022,2026-08-14T00:03:03-07:00
27,The Punisher,https://www.imdb.com/title/tt5675620/,8.4,310801,2017,2026-08-14T00:03:03-07:00
28,Ransom Canyon,https://www.imdb.com/title/tt28088031/,6.8,12054,2025,2026-08-14T00:03:03-07:00
29,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,590965,1999,2026-08-14T00:03:03-07:00
30,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,8.2,77169,2022,2026-08-14T00:03:03-07:00
31,The Hawk,https://www.imdb.com/title/tt27550719/,6.4,9704,2026,2026-08-14T00:03:03-07:00
32,Off Campus,https://www.imdb.com/title/tt33546863/,7.9,49800,2026,2026-08-14T00:03:03-07:00
33,"Life, Larry and the Pursuit of Unhappiness: an Almost History of America",https://www.imdb.com/title/tt37543147/,6.6,4479,2026,2026-08-14T00:03:03-07:00
34,X-Men '97,https://www.imdb.com/title/tt16026746/,8.7,57901,2024,2026-08-14T00:03:03-07:00
35,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,164201,2025,2026-08-14T00:03:03-07:00
36,From,https://www.imdb.com/title/tt9813792/,7.8,203451,2022,2026-08-14T00:03:03-07:00
37,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1727843,2016,2026-08-14T00:03:03-07:00
38,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1208411,2010,2026-08-14T00:03:03-07:00
39,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/,9.0,80958,2022,2026-08-14T00:03:03-07:00
40,Our Sticky Love,https://www.imdb.com/title/tt36955608/,7.5,1384,2026,2026-08-14T00:03:03-07:00
41,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.2,22831,2026,2026-08-14T00:03:03-07:00
42,The Boys,https://www.imdb.com/title/tt1190634/,8.5,1017251,2019,2026-08-14T00:03:03-07:00
43,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,545431,2005,2026-08-14T00:03:03-07:00
44,Little House on the Prairie,https://www.imdb.com/title/tt2431250/,7.3,7283,2026,2026-08-14T00:03:03-07:00
45,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,855348,2015,2026-08-14T00:03:03-07:00
46,The Office,https://www.imdb.com/title/tt0386676/,9.0,844520,2005,2026-08-14T00:03:03-07:00
47,Musafir Cafe,https://www.imdb.com/title/tt39665097/,7.6,5027,2026,2026-08-14T00:03:03-07:00
48,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,737618,2013,2026-08-14T00:03:03-07:00
49,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,321790,2019,2026-08-14T00:03:03-07:00
50,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,318815,2018,2026-08-14T00:03:03-07:00
51,Severance,https://www.imdb.com/title/tt11280740/,8.6,401092,2022,2026-08-14T00:03:03-07:00
52,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,241873,2005,2026-08-14T00:03:03-07:00
53,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.6,276006,2026,2026-08-14T00:03:03-07:00
54,The Agency,https://www.imdb.com/title/tt26656917/,7.5,34237,2024,2026-08-14T00:03:03-07:00
55,One Hundred Years of Solitude,https://www.imdb.com/title/tt9892936/,8.3,20353,2024,2026-08-14T00:03:03-07:00
56,The Wire,https://www.imdb.com/title/tt0306414/,9.3,436487,2002,2026-08-14T00:03:03-07:00
57,Heroes,https://www.imdb.com/title/tt0813715/,7.5,263394,2006,2026-08-14T00:03:03-07:00
58,Landman,https://www.imdb.com/title/tt14186672/,8.2,113603,2024,2026-08-14T00:03:03-07:00
59,War,https://www.imdb.com/title/tt37972251/,,0,2026,2026-08-14T00:03:03-07:00
60,True Detective,https://www.imdb.com/title/tt2356777/,8.8,764998,2014,2026-08-14T00:03:03-07:00
61,Law & Order: Special Victims Unit,https://www.imdb.com/title/tt0203259/,8.1,146522,1999,2026-08-14T00:03:03-07:00
62,Lanterns,https://www.imdb.com/title/tt26545992/,,0,2026,2026-08-14T00:03:03-07:00
63,The White Lotus,https://www.imdb.com/title/tt13406094/,8.0,331365,2021,2026-08-14T00:03:03-07:00
64,Dexter,https://www.imdb.com/title/tt0773262/,8.6,949275,2006,2026-08-14T00:03:03-07:00
65,Person of Interest,https://www.imdb.com/title/tt1839578/,8.5,213791,2011,2026-08-14T00:03:03-07:00
66,The Five Star Weekend,https://www.imdb.com/title/tt35587659/,7.2,4215,2026,2026-08-14T00:03:03-07:00
67,Avatar: The Last Airbender,https://www.imdb.com/title/tt9018736/,7.1,92493,2024,2026-08-14T00:03:03-07:00
68,Slow Horses,https://www.imdb.com/title/tt5875444/,8.3,152135,2022,2026-08-14T00:03:03-07:00
69,Spider-Noir,https://www.imdb.com/title/tt30460310/,7.7,64469,2026,2026-08-14T00:03:03-07:00
70,The Boroughs,https://www.imdb.com/title/tt27557289/,7.2,37714,2026,2026-08-14T00:03:03-07:00
71,Operation Safed Sagar,https://www.imdb.com/title/tt36643714/,8.7,2759,2026,2026-08-14T00:03:03-07:00
72,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,8.1,943247,2007,2026-08-14T00:03:03-07:00
73,Beef,https://www.imdb.com/title/tt14403178/,8.0,178387,2023,2026-08-14T00:03:03-07:00
74,Murder in a Small Town,https://www.imdb.com/title/tt12408718/,6.8,7678,2024,2026-08-14T00:03:03-07:00
75,Succession,https://www.imdb.com/title/tt7660850/,8.8,364012,2018,2026-08-14T00:03:03-07:00
76,The Westies,https://www.imdb.com/title/tt31849235/,7.1,1577,2026,2026-08-14T00:03:03-07:00
77,Friends,https://www.imdb.com/title/tt0108778/,8.8,1202842,1994,2026-08-14T00:03:03-07:00
78,The Lord of the Rings: The Rings of Power,https://www.imdb.com/title/tt7631058/,6.8,442841,2022,2026-08-14T00:03:03-07:00
79,Daredevil,https://www.imdb.com/title/tt3322312/,8.6,538792,2015,2026-08-14T00:03:03-07:00
80,Black Mirror,https://www.imdb.com/title/tt2085059/,8.7,745311,2011,2026-08-14T00:03:03-07:00
81,Daredevil: Born Again,https://www.imdb.com/title/tt18923754/,8.1,114253,2025,2026-08-14T00:03:03-07:00
82,ER,https://www.imdb.com/title/tt0108757/,7.9,79843,1994,2026-08-14T00:03:03-07:00
83,One Piece,https://www.imdb.com/title/tt0388629/,9.0,362039,1999,2026-08-14T00:03:03-07:00
84,MobLand,https://www.imdb.com/title/tt31510819/,8.3,120627,2025,2026-08-14T00:03:03-07:00
85,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,65137,2025,2026-08-14T00:03:03-07:00
86,Shrinking,https://www.imdb.com/title/tt15677150/,8.2,129004,2023,2026-08-14T00:03:03-07:00
87,Grey's Anatomy,https://www.imdb.com/title/tt0413573/,7.6,376625,2005,2026-08-14T00:03:03-07:00
88,Batman: Caped Crusader,https://www.imdb.com/title/tt14681596/,7.2,18150,2024,2026-08-14T00:03:03-07:00
89,Star Wars: Visions Presents - The Ninth Jedi,https://www.imdb.com/title/tt43337681/,7.0,910,2026,2026-08-14T00:03:03-07:00
90,Paradise,https://www.imdb.com/title/tt27444205/,7.9,87036,2025,2026-08-14T00:03:03-07:00
91,Ann Droid,https://www.imdb.com/title/tt37788031/,7.7,3067,2026,2026-08-14T00:03:03-07:00
92,Legends,https://www.imdb.com/title/tt33265765/,7.8,26350,2026,2026-08-14T00:03:03-07:00
93,The X-Files,https://www.imdb.com/title/tt0106179/,8.6,275311,1993,2026-08-14T00:03:03-07:00
94,The Odyssey,https://www.imdb.com/title/tt0118414/,7.1,21172,1997,2026-08-14T00:03:03-07:00
95,Pluribus,https://www.imdb.com/title/tt22202452/,7.9,168704,2025,2026-08-14T00:03:03-07:00
96,Elite Force,https://www.imdb.com/title/tt35495063/,6.4,2806,2026,2026-08-14T00:03:03-07:00
97,House,https://www.imdb.com/title/tt0412142/,8.7,598106,2004,2026-08-14T00:03:03-07:00
98,Lost,https://www.imdb.com/title/tt0411008/,8.3,678956,2004,2026-08-14T00:03:03-07:00
99,Suits,https://www.imdb.com/title/tt1632701/,8.4,546597,2011,2026-08-14T00:03:03-07:00
100,Band of Brothers,https://www.imdb.com/title/tt0185906/,9.4,601167,2001,2026-08-14T00:03:03-07:00
