rank,name_ru,name_en,url,score,votes,scraped_at
1,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.3,401661,2026-05-27T00:03:03-07:00
2,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,457834,2026-05-27T00:03:03-07:00
3,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,17132,2026-05-27T00:03:03-07:00
4,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,287044,2026-05-27T00:03:03-07:00
5,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.2,1956,2026-05-27T00:03:03-07:00
6,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1527878,2026-05-27T00:03:03-07:00
7,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,,0,2026-05-27T00:03:03-07:00
8,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.9,31856,2026-05-27T00:03:03-07:00
9,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,156367,2026-05-27T00:03:03-07:00
10,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,950600,2026-05-27T00:03:03-07:00
11,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,390876,2026-05-27T00:03:03-07:00
12,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,813172,2026-05-27T00:03:03-07:00
13,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,299308,2026-05-27T00:03:03-07:00
14,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,403680,2026-05-27T00:03:03-07:00
15,Заложник,,https://www.kinopoisk.ru/series/11696714/,7.6,157121,2026-05-27T00:03:03-07:00
16,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,948472,2026-05-27T00:03:03-07:00
17,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1060489,2026-05-27T00:03:03-07:00
18,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,837301,2026-05-27T00:03:03-07:00
19,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.8,2763,2026-05-27T00:03:03-07:00
20,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,389210,2026-05-27T00:03:03-07:00
21,Военный повар становится легендой,Chwisabyeong jeonseoli doeda,https://www.kinopoisk.ru/series/8425589/,,0,2026-05-27T00:03:03-07:00
22,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,632197,2026-05-27T00:03:03-07:00
23,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,699921,2026-05-27T00:03:03-07:00
24,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,184517,2026-05-27T00:03:03-07:00
25,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,635174,2026-05-27T00:03:03-07:00
26,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,51733,2026-05-27T00:03:03-07:00
27,Жена принца XXI века,21segi daegun buin,https://www.kinopoisk.ru/series/6648415/,8.5,15792,2026-05-27T00:03:03-07:00
28,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,275500,2026-05-27T00:03:03-07:00
29,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,76663,2026-05-27T00:03:03-07:00
30,У Марго проблемы с деньгами,Margo's Got Money Troubles,https://www.kinopoisk.ru/series/6458212/,7.0,5709,2026-05-27T00:03:03-07:00
31,Далёкий город,Uzak Sehir,https://www.kinopoisk.ru/series/6553560/,8.4,163034,2026-05-27T00:03:03-07:00
32,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,555401,2026-05-27T00:03:03-07:00
33,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.2,105285,2026-05-27T00:03:03-07:00
34,Ранчо Даттонов,Dutton Ranch,https://www.kinopoisk.ru/series/7275308/,8.8,2033,2026-05-27T00:03:03-07:00
35,Том и Джерри,Tom and Jerry,https://www.kinopoisk.ru/series/1372775/,8.9,22271,2026-05-27T00:03:03-07:00
36,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,224791,2026-05-27T00:03:03-07:00
37,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,798525,2026-05-27T00:03:03-07:00
38,Андор,Andor,https://www.kinopoisk.ru/series/1209850/,8.2,65512,2026-05-27T00:03:03-07:00
39,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,126205,2026-05-27T00:03:03-07:00
40,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,,0,2026-05-27T00:03:03-07:00
41,Банши,Banshee,https://www.kinopoisk.ru/series/696973/,8.1,148983,2026-05-27T00:03:03-07:00
42,Чернобыль,Chernobyl,https://www.kinopoisk.ru/series/1227803/,8.8,804552,2026-05-27T00:03:03-07:00
43,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,535999,2026-05-27T00:03:03-07:00
44,Тьма,Dark,https://www.kinopoisk.ru/series/1032606/,8.1,240594,2026-05-27T00:03:03-07:00
45,Поколение «Ви»,Gen V,https://www.kinopoisk.ru/series/1431133/,7.2,46267,2026-05-27T00:03:03-07:00
46,Пугало,Heosuabi,https://www.kinopoisk.ru/series/11734660/,8.4,2346,2026-05-27T00:03:03-07:00
47,Гачиакута,Gachiakuta,https://www.kinopoisk.ru/series/7524629/,8.5,311176,2026-05-27T00:03:03-07:00
48,Каштановый человечек,Kastanjemanden,https://www.kinopoisk.ru/series/1434190/,7.5,68724,2026-05-27T00:03:03-07:00
49,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,131506,2026-05-27T00:03:03-07:00
50,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,355141,2026-05-27T00:03:03-07:00
