rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,138821,2023,2026-07-18T00:03:03-07:00
2,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,830168,2022,2026-07-18T00:03:03-07:00
3,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,435913,2019,2026-07-18T00:03:03-07:00
4,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.1,95727,2021,2026-07-18T00:03:03-07:00
5,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,314454,2022,2026-07-18T00:03:03-07:00
6,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1560107,2011,2026-07-18T00:03:03-07:00
7,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,206176,2018,2026-07-18T00:03:03-07:00
8,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.1,15491,2026,2026-07-18T00:03:03-07:00
9,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,960882,2013,2026-07-18T00:03:03-07:00
10,Вестис,The Westies,https://www.kinopoisk.ru/series/12892918/,7.6,829,2026,2026-07-18T00:03:03-07:00
11,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,493830,2019,2026-07-18T00:03:03-07:00
12,Лаки,Lucky,https://www.kinopoisk.ru/series/6640984/,,0,2026,2026-07-18T00:03:03-07:00
13,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.5,7103,2022,2026-07-18T00:03:03-07:00
14,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,21440,2026,2026-07-18T00:03:03-07:00
15,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.7,19550,2026,2026-07-18T00:03:03-07:00
16,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,310051,1999,2026-07-18T00:03:03-07:00
17,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,969395,2013,2026-07-18T00:03:03-07:00
18,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,825091,2008,2026-07-18T00:03:03-07:00
19,Табакошка,Yani Neko,https://www.kinopoisk.ru/series/13136552/,,0,2026,2026-07-18T00:03:03-07:00
20,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1078508,2020,2026-07-18T00:03:03-07:00
21,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.1,47398,2026,2026-07-18T00:03:03-07:00
22,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,6.7,5110,2026,2026-07-18T00:03:03-07:00
23,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,409999,2011,2026-07-18T00:03:03-07:00
24,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,163162,2025,2026-07-18T00:03:03-07:00
25,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,404648,2006,2026-07-18T00:03:03-07:00
26,Призрак в доспехах,Koukaku Kidoutai,https://www.kinopoisk.ru/series/11195100/,7.5,14647,2026,2026-07-18T00:03:03-07:00
27,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,850727,2016,2026-07-18T00:03:03-07:00
28,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,642629,2010,2026-07-18T00:03:03-07:00
29,Тьма,The Dark,https://www.kinopoisk.ru/series/13157626/,6.7,251,2026,2026-07-18T00:03:03-07:00
30,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,113298,2026,2026-07-18T00:03:03-07:00
31,Менеджер Ким,Kim bujang,https://www.kinopoisk.ru/series/9027270/,8.0,4715,2026,2026-07-18T00:03:03-07:00
32,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,716798,2015,2026-07-18T00:03:03-07:00
33,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,281341,2018,2026-07-18T00:03:03-07:00
34,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,97799,2016,2026-07-18T00:03:03-07:00
35,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.7,57981,2026,2026-07-18T00:03:03-07:00
36,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,561856,2014,2026-07-18T00:03:03-07:00
37,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,55733,2025,2026-07-18T00:03:03-07:00
38,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,418572,2004,2026-07-18T00:03:03-07:00
39,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,288053,2023,2026-07-18T00:03:03-07:00
40,Изгнанный реинкарнированный тяжёлый рыцарь не имеет себе равных в знаниях игры,Tsuihou sareta Tensei Juukishi wa Game Chishiki de Musou suru,https://www.kinopoisk.ru/series/13041489/,,0,2026,2026-07-18T00:03:03-07:00
41,Мечтаю о тебе,Geudaeege deurim,https://www.kinopoisk.ru/series/9178109/,,0,2026,2026-07-18T00:03:03-07:00
42,Одиссей,The Odyssey,https://www.kinopoisk.ru/series/77183/,8.1,40130,1997,2026-07-18T00:03:03-07:00
43,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.5,28416,2026,2026-07-18T00:03:03-07:00
44,Тьма,Dark,https://www.kinopoisk.ru/series/1032606/,8.1,245894,2017,2026-07-18T00:03:03-07:00
45,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,229808,2015,2026-07-18T00:03:03-07:00
46,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,7.5,254756,2026,2026-07-18T00:03:03-07:00
47,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,140122,2023,2026-07-18T00:03:03-07:00
48,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,362910,1998,2026-07-18T00:03:03-07:00
49,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,643360,2005,2026-07-18T00:03:03-07:00
50,5:32,5:32,https://www.kinopoisk.ru/series/4714902/,8.2,133265,2021,2026-07-18T00:03:03-07:00
